番組ID,番組分類,ゲーム種別,番組名,バングミメイ,番組名補,バングミメイホ,放映話数,年齢制限,放映開始日
16097,"ドラマ","","逢いたい時にあなたはいない…","アイタイトキニアナタハイナイ","","","11","","1991-10-07"
4222,"ゲーム","育成・恋愛シミュレーション","あいたくて…","アイタクテ","","","","","2000-03-16"
4870,"ラジオ","","愛だ光央だ!ビタミンラジオ","アイダミツオダビタミンラジオ","","","","","2001-04-08"
14984,"バラエティ","","アイチテル!","アイチテル","","","","","2005-10-05"
15177,"ドラマ","","アイちゃんが行く!","アイチャンガイク","","","26","","1972-09-01"
19129,"ゲーム","育成・恋愛シミュレーション","アイ★チュウ","アイチュウ","","","","","2016-04-24"
18026,"ゲーム","シューティング","愛・超兄貴","アイチョウアニキ","","","","","1995-02-24"
12881,"ドラマ","","あいつがトラブル","アイツガトラブル","","","15","","1989-12-02"
17141,"ドラマ","","あいつと俺","アイツトオレ","","","12","","1980-03-04"
2256,"劇場用アニメーション","","あいつとララバイ","アイツトララバイ","","","1","","1987-08-01"
15293,"一般映画","","あいつに恋して","アイツニコイシテ","","","","","1987-05-30"
11940,"ゲーム","アドベンチャー","iTEM GETTER~僕らの科学と魔法の関係~","アイテムゲッターボクラノカガクトマホウノカンケイ","","","","","2009-08-06"
7,"テレビアニメーション","","愛天使伝説ウエディングピーチ","アイテンシデンセツウエディングピーチ","","","51","","1995-04-05"
17549,"テレビアニメーション","","愛・天地無用!","アイテンチムヨウ","","","50","","2014-10-01"
14044,"オリジナルビデオアニメーション","","哀・奴隷","アイドール","","","4","18才以上","2000-06-16"
17859,"ゲーム","アドベンチャー","I DOLL U","アイドールユー","","","","","2015-07-16"
14566,"ドラマ","","愛という名のもとに","アイトイウナノモトニ","","","12","","1992-01-09"
16660,"ドラマ","","愛と疑惑のサスペンス","アイトギワクノサスペンス","","","11","","1994-01-10"
1690,"劇場用アニメーション","","愛と剣のキャメロット まんが家マリナ タイムスリップ事件","アイトケンノキャメロットマンガカマリナタイムスリプジケン","","","1","","1990-08-25"
11154,"ドラマ","","アイとサムの街","アイトサムノマチ","","","30","","1991-07-22"
15108,"一般映画","","愛と誠","アイトマコト","","","","","2012-06-16"
9,"テレビアニメーション","","愛と勇気のピッグガールとんでぶーりん","アイトユウキノピッグガールトンデブーリン","","","51","","1994-09-03"
1921,"ラジオ","","愛と由美のあぁぁ新天地!","アイトユミノアァァシンテンチ","","","131","","1997-04-13"
18722,"ゲーム","アクションロールプレイング","アイドリッシュセブン","アイドリッシュセブン","","","","","2015-08-20"
5573,"ゲーム","アドベンチャー","I-DOLL~アイドル~","アイドル","","","","18才以上","2002-06-28"
18932,"ゲーム","","アイドルうぉーず~100人のディーバと夢見がちな僕~","アイドルウォーズヒャクニンノディーバトユメミガチナボク","","","","","2015-07-14"
2822,"その他","","アイドル王","アイドルオウ","","","","",\N
16009,"オリジナルビデオアニメーション","","アイドル候補生","アイドルコウホセイ","","","","18才以上","2013-02-13"
17863,"オリジナルビデオアニメーション","","アイドル☆シスター","アイドルシスター","","","1","18才以上","2014-12-26"
18568,"ゲーム","ロールプレイング","アイドル事変","アイドルジヘン","Idol Incidents","アイドルインシデンツ","","",\N
4175,"ゲーム","その他","アイドル雀士スーチーパイ シークレットアルバム","アイドルジャンシスーチーパイシークレットアルバム","","","","","1999-03-18"
5425,"ゲーム","テーブルゲーム","アイドル雀士スーチーパイ スペシャル","アイドルジャンシスーチーパイスペシャル","","","","","1995-02-24"
5334,"ゲーム","テーブルゲーム","アイドル雀士スーチーパイIII","アイドルジャンシスーチーパイスリー","","","","","2002-04-05"
4121,"ゲーム","テーブルゲーム","アイドル雀士スーチーパイII Limited","アイドルジャンシスーチーパイツーリミテッド","","","","","1996-09-20"
4700,"ゲーム","テーブルゲーム","アイドル雀士スーチーパイめちゃ限定版発売５周年マル得パッケージ","アイドルジャンシスーチーパイメチャゲンテイハツバイゴシュウネンマルトクパッケージ","","","","","1998-11-26"
9720,"ゲーム","テーブルゲーム","アイドル雀士スーチーパイ Limited","アイドルジャンシスーチーパイリミッテド","","","","","1995-03-24"
3277,"ゲーム","","アイドル雀士をつくっちゃおう","アイドルジャンシヲツクッチャオウ","","","","","1999-09-23"
10,"テレビアニメーション","","アイドル天使ようこそようこ","アイドルテンシヨウコソヨウコ","","","43","","1990-04-02"
11,"テレビアニメーション","","アイドル伝説えり子","アイドルデンセツエリコ","","","51","","1989-04-03"
12569,"バラエティ","","アイドル”独断と偏見”情報局","アイドルドクダントヘンケンジョウホウキョク","","","","",\N
18034,"ゲーム","アドベンチャー","アイドル肉体交感~おれがあの子で、あの子がオレ~","アイドルニクタイコウカンオレガアノコデアノコガオレ","","","","18才以上","2015-04-17"
12,"テレビアニメーション","","アイドル忍者タートルズ","アイドルニンジャタートルズ","","","52","","1991-05-06"
10624,"ゲーム","アドベンチャー","アイドル★ハーレム","アイドルハーレム","","","","18才以上","2008-10-31"
7684,"ゲーム","","アイドル八犬伝","アイドルハッケンデン","","","","","1989-09-14"
